2012-02-21 15:15:32 Debug: Notice (8): Use of undefined constant jquery - assumed 'jquery' in [C:\xampp\htdocs\cadastro_cultural\views\pfs\add.ctp, line 5]
2012-02-21 15:15:32 Debug: Notice (8): Use of undefined constant validate - assumed 'validate' in [C:\xampp\htdocs\cadastro_cultural\views\pfs\add.ctp, line 5]
2012-02-21 19:02:59 Debug: Notice (8): Undefined index: ContadorCurriculo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 25]
2012-02-21 19:06:29 Debug: Notice (8): Undefined index: ContadorCurriculo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 25]
2012-02-21 19:10:04 Debug: Notice (8): Undefined index: ContadorCurriculo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 25]
2012-02-21 19:10:45 Debug: Notice (8): Undefined index: ContadorCurriculo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 26]
2012-02-21 19:23:04 Debug: Notice (8): Undefined property: PfsController::$Curriculo in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 36]
2012-02-21 20:02:07 Debug: Notice (8): Undefined variable: i in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 24]
2012-02-21 20:02:07 Debug: Notice (8): Undefined index:  in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 24]
2012-02-21 20:04:19 Debug: Notice (8): Undefined property: PfsController::$PF in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 29]
2012-02-21 20:04:19 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 29]
2012-02-21 21:09:20 Debug: Notice (8): Undefined index: or in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 30]
2012-02-21 21:09:20 Debug: Notice (8): Undefined index: dt in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 31]
2012-02-21 21:09:20 Debug: Notice (8): Undefined index: descricao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 32]
2012-02-21 21:09:20 Debug: Notice (8): Undefined index: funcao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 33]
2012-02-21 21:27:06 Debug: Notice (8): Undefined index: funcao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 33]
2012-02-21 22:14:00 Debug: Notice (8): Undefined property: PfsController::$Produto in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 45]
2012-02-21 22:14:13 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
2012-02-21 22:18:00 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
2012-02-21 22:25:29 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
2012-02-21 22:26:49 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 53]
2012-02-21 22:27:09 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 53]
2012-02-21 22:27:36 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 53]
2012-02-21 22:28:17 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
2012-02-21 22:33:25 Debug: Notice (8): Undefined index: Telefone in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 50]
